Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-08-15 06:09:56 UTC,Aeroplane,Passionfruit Jelly Crystals,Pantry,85g,,,7411580P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Orange Orbit Jelly Crystals,Pantry,85g,,,5340141P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Berry Blue Jelly Crystals,Pantry,85g,,,5521500P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Create A Jelly Jelly Crystals,Pantry,85g,,,7144610P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Port Wine Jelly Crystals,Pantry,85g,,,5340120P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Blue Heaven Jelly Crystals,Pantry,85g,,,7681041P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Mango Mania Jelly Crystals,Pantry,85g,,,5519596P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Lite Port Wine Jelly Crystals 2 pack,Pantry,18g,125g,8,8324254P,23.0kJ,1.3g,0.0g,0.0g,0.0g,0.0g,24.0mg,1.9,FALSE,1.9,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Purple Grape Jelly Crystals,Pantry,85g,,,7411615P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Pineapple Jelly Crystals,Pantry,85g,,,5340185P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Orange Mango Jelly Crystals 30% Reduced Sugar,Pantry,85g,,,1389182P,,,,,,,,1.25,TRUE,1,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Lite Strawberry Jelly Crystals 2 pack,Pantry,18g,125g,8,5519010P,23.0kJ,1.2g,0.0g,0.0g,0.1g,0.0g,22.0mg,1.9,FALSE,1.9,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Lite Lime Jelly Crystals 2 pack,Pantry,18g,125g,8,5519020P,22.0kJ,1.2g,0.0g,0.0g,0.1g,0.0g,22.0mg,1.9,FALSE,1.9,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Cool Lime Jelly Crystals,Pantry,85g,,,5340130P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Raspberry Jelly Crystals,Pantry,85g,,,5340108P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Lite Raspberry Jelly Crystals 2 pack,Pantry,18g,,,5743590P,,,,,,,,1.9,FALSE,1.9,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Lite Mango Passionfruit Jelly Crystals 2 pack,Pantry,18g,125g,8,7685097P,22kJ,1.2g,0.0g,0.0g,0.1g,0.0g,24mg,1.9,FALSE,1.9,FALSE,,
2018-08-15 06:10:02 UTC,Aeroplane,Caramel Mug Cake Mix,Pantry,65g,,,2738061P,,,,,,,,1.9,TRUE,1,FALSE,,
2018-08-15 06:10:03 UTC,Aeroplane,Chocolate Mug Cake Mix,Pantry,65g,,,2738072P,,,,,,,,1.9,TRUE,1,FALSE,,
2018-08-15 06:10:03 UTC,Aeroplane,Vanilla Flavoured Dessert Mix,Pantry,100g,,,2876780P,,,,,,,,1.9,TRUE,1,FALSE,,
2018-08-15 06:10:00 UTC,Ainsley Harriott,Moroccan Medley Cous Cous,Pantry,100g,50g,2,7448604P,754kJ,7.0g,2.0g,0.4g,7.0g,,0.39g(390mg),2.2,TRUE,1.65,FALSE,,
2018-08-15 06:10:00 UTC,Ainsley Harriott,CousCous Roasted Veg,Pantry,100g,100,2,7448615P,,4.8g,1.1g,0.3g,25.7g,2.4g,240mg,2.2,TRUE,1.65,FALSE,,
2018-08-15 06:10:01 UTC,Ainsley Harriott,Indian Snack Pot,Pantry,70g,100,1,3221731P,,4.4g,1.3g,0.5g,26.8g,2.1g,190mg,2.8,FALSE,2.8,FALSE,,
2018-08-15 06:10:01 UTC,Ainsley Harriott,Mexican Snack Pot,Pantry,70g,100,1,3221720P,,4.7g,1.3g,0.4g,26.6g,2.1g,220mg,2.8,FALSE,2.8,FALSE,,
2018-08-15 05:50:09 UTC,Ajishima,Miso Fungi & Soybean Soup Mix 2 pack,Pantry,12g,,,2005399P,,,,,,,,2.39,FALSE,2.39,FALSE,,
2018-08-15 06:10:01 UTC,Ajishima,Tom Yum Hot Sour Crab Instant Soup Cup,Pantry,5g,,,2004716P,,,,,,,,1.79,FALSE,1.79,FALSE,,
